PM2.5,PM10,NO2,SO2,CO,O3,month,day,AQI
1.2693877618558964,0.1883605312546213,0.007259998853090787,3.1753598881550746,2.960746602613347,0.9136495686948148,-1.3220361171504746,-1.3435247039750366,294.0
-0.2504301640197858,0.1883605312546213,-0.4414596933738297,3.302508526616357,2.588241276605169,-1.136851924112999,-0.38986316978655994,0.8152488267015686,128.0
0.7134189347699395,0.1883605312546213,-1.0039007121803976,1.3876879862068912,-0.43101241840848437,-1.3988310123413874,0.23158546178938316,0.019911210136503543,105.0
0.38267569928490336,0.1883605312546213,-1.007326053342435,1.8848960948166833,-0.5094345923049429,-1.5059775158415374,0.23158546178938316,0.13353086964579855,101.0
0.08759015035380975,0.1883605312546213,-1.0086961898072502,1.8962825400520218,-0.41140687493436967,-1.4017745976023808,0.23158546178938316,0.24715052915509358,93.0
-0.44400046245547237,0.1883605312546213,-1.0162319403637328,0.4331243273109929,-0.27416807061556736,-1.2716681290664842,0.23158546178938316,0.3607701886643886,67.0
-0.5262314538961964,0.1883605312546213,-1.001845507483175,0.2452479809279035,-0.607462309675516,-1.4329766013689078,0.23158546178938316,0.4743898481736836,60.0
0.41287557667242586,0.1883605312546213,-0.9895142792998398,1.0593788152546242,-0.607462309675516,-1.7179156546330425,0.23158546178938316,0.7016291671922736,90.0
-0.4017934049018266,0.1883605312546213,-0.8901793856007504,0.877195691489204,-1.4897117660106745,-1.5842768837839545,0.23158546178938316,0.8152488267015686,78.0
-0.6019130743372169,0.1883605312546213,-0.9011404773192706,0.8696047279989784,-1.568133939907133,-1.5719138256877836,0.23158546178938316,0.9288684862108637,48.0
-0.5811733995048218,0.1883605312546213,-0.9648518229331692,1.1599590815001162,-1.411289592114216,-1.5566071823306191,0.23158546178938316,1.0424881457201587,53.0
0.516210096889973,0.1883605312546213,-0.9552608676794642,0.4786701082523479,-1.3328674182177573,-1.706730030641269,0.23158546178938316,1.1561078052294538,91.0
-0.9664947266540551,0.1883605312546213,-0.9093612961081609,0.4236356229482108,1.2942754073136034,-1.599583527141119,0.23158546178938316,1.2697274647387486,70.0
0.32118438267657445,0.1883605312546213,-0.30102070573028983,1.9133622079050299,2.843113341768659,0.6269443642740842,1.1637584091532978,1.6105864432666337,114.0
0.026826541634336638,0.1883605312546213,-0.72781821452017,0.8980708410873253,0.7061091030901642,1.7531600851300557,1.1637584091532978,1.7242061027759288,143.0
-0.33811896462692964,0.1883605312546213,0.9869075711958339,1.9000780217971351,0.23557605971141307,-0.031241300083979517,0.23158546178938316,-0.09370844937279148,72.0
-0.5113134421746491,0.1883605312546213,0.0017794529938308045,1.228277752912149,1.5883585594253224,-0.031241300083979517,0.23158546178938316,0.4743898481736836,557.0
-0.44691129401089646,0.1883605312546213,0.5587399259411384,0.9986511073328174,2.117708233226417,-0.031241300083979517,0.23158546178938316,0.5880095076829787,114.0
-0.5444241511175956,0.1883605312546213,0.1661958287716337,1.5224275881583997,3.352857472095639,-0.031241300083979517,0.23158546178938316,0.7016291671922736,148.0
-0.556431331283719,0.1883605312546213,1.0999438295430735,1.290903201706512,1.5295419290029786,-0.031241300083979517,0.23158546178938316,0.8152488267015686,99.0
0.10996716793613047,0.1883605312546213,-0.04274998211265741,0.04218970756436279,0.13754834234084004,-0.031241300083979517,0.8530340933653263,0.24715052915509358,135.0
0.10996716793613047,0.1883605312546213,-0.04274998211265741,0.04218970756436279,0.13754834234084004,-0.031241300083979517,1.1637584091532978,-1.3435247039750366,236.0
0.5806122450537257,0.1883605312546213,-0.04274998211265741,0.04218970756436279,0.13754834234084004,-1.2981603964154225,1.1637584091532978,-0.5481870874099716,105.0
2.9402050746691906,0.1883605312546213,-0.04274998211265741,0.04218970756436279,0.13754834234084004,-0.23140509783151225,1.1637584091532978,0.5880095076829787,319.0
0.491104174724442,0.1883605312546213,-0.04274998211265741,0.04218970756436279,0.13754834234084004,-0.3273659773398884,1.1637584091532978,0.7016291671922736,146.0
0.21675830062574336,0.1883605312546213,-0.04274998211265741,0.04218970756436279,0.13754834234084004,-0.4162622522218808,1.1637584091532978,0.8152488267015686,80.0
0.7872812854888199,0.1883605312546213,-0.04274998211265741,0.04218970756436279,0.13754834234084004,-0.7000238713816185,1.1637584091532978,0.9288684862108637,102.0
0.1025081620753569,0.13190524605779194,-0.7346688968442451,2.1942278570433857,3.3332519286215248,-0.2384697024578958,1.7852070407292409,-0.09370844937279148,177.0
0.3775817440629116,0.5043602470687315,-0.758646284978508,3.3689294571558333,3.215618667776837,-0.4827872791203257,-1.6327604329384462,-0.6618067469192666,129.0
-0.29445649129557167,0.14289654052089137,-0.35651123255529826,3.3556452710479383,2.7842967113463146,-0.8748728358846103,-1.011311801362503,-0.6618067469192666,116.0
-0.5669830956721305,-0.340970218002375,0.827971741277291,3.0539044723114612,-0.8035177444166623,0.42501441536995554,-0.7005874855745314,-0.5481870874099716,89.0
-0.6936042683330683,-0.39492748173031783,0.2929334517670236,2.385899685171588,-0.979967635683694,0.6110490038647212,-0.7005874855745314,-0.43456742790067654,101.0
-0.9821404462644583,-0.6769541055675753,0.019591227036426236,3.3898046067539545,-0.9211510052613501,0.9477951577223355,-0.7005874855745314,-0.3209477683913815,95.0
-0.5313254091181883,-0.41341284060007594,0.21757594620219714,2.4390364296031692,-0.9603620922095795,0.6811063330763579,-0.7005874855745314,-0.2073281088820865,89.0
-0.803124305605891,-0.5952688035349949,-0.37980355245715364,2.7521636735749846,-0.8427288313648916,0.7217278096780629,-0.7005874855745314,-0.09370844937279148,88.0
-0.25879880474162953,-0.179098426818546,0.2764918141892434,2.4731957653091854,-0.979967635683694,1.3222192029206616,-0.7005874855745314,0.019911210136503543,95.0
-0.5444241511175956,-0.30949514749440815,0.22237142382904973,1.7140994162866023,-0.979967635683694,0.32375508239179196,-0.7005874855745314,0.13353086964579855,92.0
-0.8911769601574627,-0.5875249369814475,-0.6024507279895952,2.27772845543587,-0.979967635683694,0.5168542755129413,-0.7005874855745314,0.3607701886643886,99.0
-0.5793541297826819,-0.26627937608267593,-0.47639817322661293,3.078575103654695,-1.0191787226319233,0.3843929387682505,-0.7005874855745314,0.4743898481736836,86.0
-0.6532164805015623,-0.36595043269123745,-0.4387194204441997,1.928544134885482,-0.9211510052613501,0.37968320235066116,-0.7005874855745314,0.5880095076829787,87.0
